sentence1,sentence2,label
谁是天蝎座的守护神,天蝎_（黄道十二宫之一）的星座的出道地点,0
谁是天蝎座的守护神,天蝎_（黄道十二宫之一）的隶属的外文名,0
谁是天蝎座的守护神,天蝎_（黄道十二宫之一）的星座的人生目标,0
谁是天蝎座的守护神,天蝎座_（占星学）的守护神,1
到手香又被称为什么,到手香的别称的别称,0
到手香又被称为什么,到手香的别称的分布区域,0
到手香又被称为什么,到手香的别称的英名,0
到手香又被称为什么,到手香的别称,1
李白祖籍是哪里,李白_（唐朝著名诗人）的当事人,0
李白祖籍是哪里,李白_（唐朝著名诗人）的主角的中文名,0
李白祖籍是哪里,李白_（唐朝著名诗人）的字号的职业,0
李白祖籍是哪里,李白_（唐朝著名诗人）的祖籍,1
曹雪芹是什么时代的人物,曹雪芹_（清代名著《红楼梦》作者）的代表人物的外文名称,0
曹雪芹是什么时代的人物,曹雪芹_（清代名著《红楼梦》作者）的代表人物的中文名称,0
曹雪芹是什么时代的人物,曹雪芹_（清代名著《红楼梦》作者）的代表人物的语言,0
曹雪芹是什么时代的人物,曹雪芹_（清代名著《红楼梦》作者）的所处时代,1
中华民国首任教育总长是谁,中华民国的主要城市的地理最高点,0
中华民国首任教育总长是谁,北洋政府的主要城市的外文名,0
中华民国首任教育总长是谁,中华民国的建立时代的中文名,0
中华民国首任教育总长是谁,"""中华民国首任教育总长""的主要成就",1
中国最早的一部诗歌总集是,诗歌总集的书名,0
中国最早的一部诗歌总集是,诗歌总集的出版社,0
中国最早的一部诗歌总集是,诗歌总集的性质的作者,0
中国最早的一部诗歌总集是,"""中国最早的一部诗歌总集""的历史地位",1
家喻户晓的角色印第安纳·琼斯是由哪个演员扮演的,印第安纳州的籍贯,0
家喻户晓的角色印第安纳·琼斯是由哪个演员扮演的,印第安纳州的籍贯的星座,0
家喻户晓的角色印第安纳·琼斯是由哪个演员扮演的,印第安纳州的地址,0
家喻户晓的角色印第安纳·琼斯是由哪个演员扮演的,印第安纳·琼斯的扮演者,1
詹姆斯当前效力于哪个队,詹姆斯_（勒布朗·詹姆斯）的别名,0
詹姆斯当前效力于哪个队,詹姆斯·罗林斯的职业,0
詹姆斯当前效力于哪个队,詹姆斯_（勒布朗·詹姆斯）的球员,0
詹姆斯当前效力于哪个队,詹姆斯_（勒布朗·詹姆斯）的所属运动队,1
小明想调一杯长岛冰茶，他需要哪些酒作为基酒,长岛冰茶_（鸡尾酒名称）的基酒的西班牙语,0
小明想调一杯长岛冰茶，他需要哪些酒作为基酒,酒_（汉语汉字）的调料的要领,0
小明想调一杯长岛冰茶，他需要哪些酒作为基酒,长岛冰茶_（鸡尾酒名称）的基酒的别称,0
小明想调一杯长岛冰茶，他需要哪些酒作为基酒,长岛冰茶_（鸡尾酒名称）的基酒,1
"有什么和""凿壁偷光""意思相近的词语",凿壁偷光的近义词的其他意译,0
"有什么和""凿壁偷光""意思相近的词语",凿壁偷光的近义词的外文名,0
"有什么和""凿壁偷光""意思相近的词语",凿壁偷光的近义词的释义,0
"有什么和""凿壁偷光""意思相近的词语",凿壁偷光的近义词,1
可以给我推荐一些任天堂公司出的游戏吗,游戏_（娱乐活动）的举办的中文名,0
可以给我推荐一些任天堂公司出的游戏吗,任天堂的发行商的主要角色,0
可以给我推荐一些任天堂公司出的游戏吗,任天堂的发行商的内容主题,0
可以给我推荐一些任天堂公司出的游戏吗,任天堂的主要软件系列,1
希拉里的老公是谁,希拉里·达夫的国籍的货币,0
希拉里的老公是谁,希拉里·达夫的作者,0
希拉里的老公是谁,希拉里·达夫的星座,0
希拉里的老公是谁,希拉里·黛安·罗德姆·克林顿的夫人,1
博尔赫斯是哪国人,豪尔赫·路易斯·博尔赫斯_（阿根廷作家）的作者,0
博尔赫斯是哪国人,豪尔赫·路易斯·博尔赫斯_（阿根廷作家）的人物,0
博尔赫斯是哪国人,豪尔赫·路易斯·博尔赫斯_（阿根廷作家）的出生地的国庆日,0
博尔赫斯是哪国人,豪尔赫·路易斯·博尔赫斯_（阿根廷作家）的出生地,1
2008年奥运会的吉祥物是,2008年北京奥运会的吉祥物的外文名,0
2008年奥运会的吉祥物是,2008年北京奥运会的吉祥物的设计者,0
2008年奥运会的吉祥物是,2008年北京奥运会的吉祥物的登场作品,0
2008年奥运会的吉祥物是,2008年北京奥运会的吉祥物,1
火星的公转周期是多少天,火星_（太阳系八大行星之一）的发现地,0
火星的公转周期是多少天,火星_（太阳系八大行星之一）的地域,0
火星的公转周期是多少天,火星_（太阳系八大行星之一）的暗恋的外文名,0
火星的公转周期是多少天,火星_（太阳系八大行星之一）的公转周期,1
MLB的官网地址是什么,美国职业棒球大联盟的外文名,0
MLB的官网地址是什么,美国职业棒球大联盟的简称的时间,0
MLB的官网地址是什么,美国职业棒球大联盟的国家,0
MLB的官网地址是什么,美国职业棒球大联盟的官网,1
谁废除了分封制,分封制的隶属,0
谁废除了分封制,分封制的别称的隶属,0
谁废除了分封制,分封制的制度,0
谁废除了分封制,"""废除 分封制""的主要成就",1
列举唐朝的代表诗人,诗人_（汉语词语）的作者简介的中文名,0
列举唐朝的代表诗人,诗人_（汉语词语）的代表作品的职业,0
列举唐朝的代表诗人,诗人_（汉语词语）的职位的作者,0
列举唐朝的代表诗人,唐诗_（唐朝诗歌通称）的代表诗人,1
你喜欢吃包子吗，你知道是谁发明的吗,吃包子的喜欢做的事的中文名,0
你喜欢吃包子吗，你知道是谁发明的吗,吃包子的喜欢做的事,0
你喜欢吃包子吗，你知道是谁发明的吗,吃包子的喜欢做的事的配音,0
你喜欢吃包子吗，你知道是谁发明的吗,包子_（中国传统食品）的发明者,1
法国的官方语言是什么,官方语言的分类,0
法国的官方语言是什么,官方语言的特例的国土面积,0
法国的官方语言是什么,官方语言的特例的国旗,0
法国的官方语言是什么,法国_（法兰西共和国）的官方语言,1
中国一共有多少家肯德基,中华人民共和国的地区的608k,0
中国一共有多少家肯德基,中华人民共和国的国籍的太阳星座,0
中国一共有多少家肯德基,中华人民共和国的国家的妹夫,0
中国一共有多少家肯德基,肯德基的中国门店,1
泰山有多高,山有多高的色彩,0
泰山有多高,山有多高的导演,0
泰山有多高,山有多高的色彩的拼音,0
泰山有多高,泰山_（世界文化与自然双重遗产，国家5A级旅游景区）的海拔高度,1
特洛伊战争的结果是什么,特洛伊战争_（洪佩奇著的小说）的书名,0
特洛伊战争的结果是什么,特洛伊战争_（古希腊战争）的参战方,0
特洛伊战争的结果是什么,特洛伊战争_（古希腊战争）的结束标志的编剧,0
特洛伊战争的结果是什么,特洛伊战争_（古希腊战争）的结果,1
新海诚动漫《你的名字》由哪个公司出品,新海诚的动画制作的又名,0
新海诚动漫《你的名字》由哪个公司出品,新海诚的编剧的出品,0
新海诚动漫《你的名字》由哪个公司出品,新海诚的动画,0
新海诚动漫《你的名字》由哪个公司出品,你的名字_（新海诚执导的动画电影）的出品,1
国际足联世界杯的冠军奖杯叫做什么,FIFA世界杯的创办时间,0
国际足联世界杯的冠军奖杯叫做什么,世界杯_（国际足联世界杯）的类型,0
国际足联世界杯的冠军奖杯叫做什么,世界杯_（国际足联世界杯）的角逐赛事的奥运会冠军,0
国际足联世界杯的冠军奖杯叫做什么,世界杯_（国际足联世界杯）的奖杯,1
"有""铁血宰相""之称的俾斯麦是哪个国家的",奥托·冯·俾斯麦的国籍的首相,0
"有""铁血宰相""之称的俾斯麦是哪个国家的",俾斯麦号战列舰的国家的简称,0
"有""铁血宰相""之称的俾斯麦是哪个国家的",奥托·冯·俾斯麦的国籍的中文名称,0
"有""铁血宰相""之称的俾斯麦是哪个国家的",奥托·冯·俾斯麦的国籍,1
你知道辽宁省的省花是什么吗,辽宁的省份的外文名,0
你知道辽宁省的省花是什么吗,辽宁的省份的食性,0
你知道辽宁省的省花是什么吗,辽宁的省份,0
你知道辽宁省的省花是什么吗,辽宁的省花,1
复旦大学的地址是哪里,复旦大学的地点,0
复旦大学的地址是哪里,复旦大学的发生地点,0
复旦大学的地址是哪里,复旦大学的地点的长度,0
复旦大学的地址是哪里,复旦大学的学校地址,1
习近平总书记毕业于哪个大学,大学_（高等教育机构）的毕业院校的孩子,0
习近平总书记毕业于哪个大学,大学_（高等教育机构）的文化的毕业院校,0
习近平总书记毕业于哪个大学,大学_（高等教育机构）的毕业院校的政党,0
习近平总书记毕业于哪个大学,习近平的毕业院校,1
深圳市的城市精神是,深圳市多泰空调设备有限公司的公司性质,0
深圳市的城市精神是,深圳市富善能科技有限公司的核心价值观的目的,0
深圳市的城市精神是,城市精神的中文名,0
深圳市的城市精神是,深圳的城市精神,1
足球运动的最高赛事是,足球的最喜欢的运动的身高,0
足球运动的最高赛事是,足球的角逐赛事的运动项目,0
足球运动的最高赛事是,足球的赛事类型的冠军,0
足球运动的最高赛事是,足球的最高赛事,1
风衣最常在哪个季节穿,季节_（大气科学和气候学术语）的填词的中文名称,0
风衣最常在哪个季节穿,季节_（大气科学和气候学术语）的影响因素的影响因素,0
风衣最常在哪个季节穿,季节_（大气科学和气候学术语）的代表作品的职业,0
风衣最常在哪个季节穿,风衣的季节,1
肯德基的中国区总部在哪,肯德基的地点的类型,0
肯德基的中国区总部在哪,肯德基的所属企业的中文名,0
肯德基的中国区总部在哪,肯德基的全称的外文名,0
肯德基的中国区总部在哪,肯德基的中国区总部,1
建宁公主与韦小宝是什么关系,建宁公主_（金庸小说《鹿鼎记》人物）的母亲的性别,0
建宁公主与韦小宝是什么关系,建宁公主_（清朝公主）的配偶,0
建宁公主与韦小宝是什么关系,建宁公主_（金庸小说《鹿鼎记》人物）的丈夫,0
建宁公主与韦小宝是什么关系,建宁公主_（金庸小说《鹿鼎记》人物）的韦小宝_（武侠小说《鹿鼎记》人物）,1
有多少皮卡丘是雌性的，多少是雄性的,皮卡丘的体重,0
有多少皮卡丘是雌性的，多少是雄性的,皮卡丘的属性的外文名,0
有多少皮卡丘是雌性的，多少是雄性的,皮卡丘的特性,0
有多少皮卡丘是雌性的，多少是雄性的,皮卡丘的性别比例,1
《不平常的蛋糕》是谁写的,不平常的蛋糕的创作年代的范畴,0
《不平常的蛋糕》是谁写的,不平常的蛋糕的文学体裁的拼音,0
《不平常的蛋糕》是谁写的,不平常的蛋糕的创作年代的释义,0
《不平常的蛋糕》是谁写的,不平常的蛋糕的作者,1
电影《长江7号》是制片成本是多少,长江7号的制片人的别名,0
电影《长江7号》是制片成本是多少,长江7号的制片人的身高,0
电影《长江7号》是制片成本是多少,长江7号的制片地区的电话区号,0
电影《长江7号》是制片成本是多少,长江7号的制片成本,1
厦门大学的现任校长是谁,厦门大学的隶属的现任校长,0
厦门大学的现任校长是谁,厦门大学的任教学校的职业,0
厦门大学的现任校长是谁,厦门大学的现任校长的出生日期,0
厦门大学的现任校长是谁,厦门大学的现任校长,1
我们会在哪个民俗节日里猜灯谜,民俗节日的书名,0
我们会在哪个民俗节日里猜灯谜,民俗节日的出版社,0
我们会在哪个民俗节日里猜灯谜,民俗节日的分类的族别,0
我们会在哪个民俗节日里猜灯谜,民俗的猜灯谜的类别的节日活动,1
撒哈拉沙漠的最高温度是,撒哈拉沙漠_（北非沙漠名称）的长度,0
撒哈拉沙漠的最高温度是,撒哈拉沙漠_（北非沙漠名称）的宽度,0
撒哈拉沙漠的最高温度是,撒哈拉沙漠_（北非沙漠名称）的温度,1
撒哈拉沙漠的最高温度是,撒哈拉沙漠_（2006年电影名称）的制片地区的人口密度,0
唐嫣工作室旗下都有哪些艺人,唐嫣工作室的出品公司的类型,0
唐嫣工作室旗下都有哪些艺人,唐嫣工作室的总经理的职业,0
唐嫣工作室旗下都有哪些艺人,唐嫣工作室的外文名,0
唐嫣工作室旗下都有哪些艺人,唐嫣工作室的经纪公司,1
白居易的那首《长恨歌》一共有多少字,长恨歌_（白居易长篇叙事诗）的示例,0
白居易的那首《长恨歌》一共有多少字,长恨歌_（白居易长篇叙事诗）的依据,0
白居易的那首《长恨歌》一共有多少字,长恨歌_（白居易长篇叙事诗）的代表作,0
白居易的那首《长恨歌》一共有多少字,长恨歌_（白居易长篇叙事诗）的字数,1
肯德基的创始人是谁,创始人_（创办人、第一人）的代表作品的毕业院校,0
肯德基的创始人是谁,肯德基的单位的事件发展,0
肯德基的创始人是谁,肯德基的周围景观的周围景观,0
肯德基的创始人是谁,肯德基的创始人,1
《悼李夫人赋》是谁的作品,李夫人赋的作者,0
《悼李夫人赋》是谁的作品,悼李夫人赋的代表作品,1
《悼李夫人赋》是谁的作品,悼李夫人赋的代表作品的国籍,0
《悼李夫人赋》是谁的作品,李夫人赋的作品出处的志,0
如果把《诗经》翻译成英文，应该叫什么,英语_（语言）的游戏语种的发布日期,0
如果把《诗经》翻译成英文，应该叫什么,英语_（语言）的歌曲语言的单曲形式,0
如果把《诗经》翻译成英文，应该叫什么,英语_（语言）的语言的发售者,0
如果把《诗经》翻译成英文，应该叫什么,诗经的外文名,1
古希腊的首都是什么地方,古希腊_（爱琴海-色雷斯文明圈的黄金时期）的时代的建筑风格,0
古希腊的首都是什么地方,古希腊_（爱琴海-色雷斯文明圈的黄金时期）的时期的适用人群,0
古希腊的首都是什么地方,古希腊_（爱琴海-色雷斯文明圈的黄金时期）的区域的作者,0
古希腊的首都是什么地方,古希腊_（爱琴海-色雷斯文明圈的黄金时期）的首都,1
"""生命在于运动""是谁提出的",生命在于运动的提出者的民族,0
"""生命在于运动""是谁提出的",生命在于运动的提出者的出生日期,0
"""生命在于运动""是谁提出的",生命在于运动的提出者的国籍,0
"""生命在于运动""是谁提出的",生命在于运动的提出者,1
北邮现在的校长是谁,北京邮电大学的简称的现任校长,0
北邮现在的校长是谁,北京邮电大学的现任校长,1
北邮现在的校长是谁,北京邮电大学的校训,0
北邮现在的校长是谁,北京邮电大学的现任校长的中文名,0
"被称为""法鲨""的迈克尔·法斯宾德毕业于哪所院校",赖纳·维尔纳·法斯宾德的星座,0
"被称为""法鲨""的迈克尔·法斯宾德毕业于哪所院校",赖纳·维尔纳·法斯宾德的职业的代表人物,0
"被称为""法鲨""的迈克尔·法斯宾德毕业于哪所院校",赖纳·维尔纳·法斯宾德的编剧,0
"被称为""法鲨""的迈克尔·法斯宾德毕业于哪所院校",迈克尔·法斯宾德的毕业院校,1
书籍《图形学》定价多少,图形学的定价,1
书籍《图形学》定价多少,图形学的学科,0
书籍《图形学》定价多少,图形学的学科的外文名,0
书籍《图形学》定价多少,图形学的出版时间,0
美苏冷战期间发生了什么重大事件,冷战_（美国与苏联为主的政治、经济、军事斗争）的重大事件的主要指挥官,0
美苏冷战期间发生了什么重大事件,冷战_（美国与苏联为主的政治、经济、军事斗争）的存在时期的成立时间,0
美苏冷战期间发生了什么重大事件,冷战_（美国与苏联为主的政治、经济、军事斗争）的重大事件的名称,0
美苏冷战期间发生了什么重大事件,冷战_（美国与苏联为主的政治、经济、军事斗争）的重大事件,1
史铁生有哪些代表作品,史铁生的代表作品的作者,0
史铁生有哪些代表作品,史铁生的代表作品的isbn,0
史铁生有哪些代表作品,史铁生的代表作品的类别,0
史铁生有哪些代表作品,史铁生的代表作品,1
鹑吃浆果，狮头鹅吃杂食，爪哇闪皮蛇吃什么,爪哇闪皮蛇的食物的门,0
鹑吃浆果，狮头鹅吃杂食，爪哇闪皮蛇吃什么,狮头鹅的食物,0
鹑吃浆果，狮头鹅吃杂食，爪哇闪皮蛇吃什么,爪哇闪皮蛇的食物的中文学名,0
鹑吃浆果，狮头鹅吃杂食，爪哇闪皮蛇吃什么,爪哇闪皮蛇的食物,1
法国有哪些著名的汽车品牌,法国_（法兰西共和国）的馆藏的馆藏,0
法国有哪些著名的汽车品牌,法国_（法兰西共和国）的所处时代的本名,0
法国有哪些著名的汽车品牌,法国_（法兰西共和国）的国籍的开本,0
法国有哪些著名的汽车品牌,法国_（法兰西共和国）的汽车品牌,1
钢铁侠加入了哪些组织,Ironman_（美国2008年小罗伯特·唐尼主演电影）的对白语言的官方语言组织,0
钢铁侠加入了哪些组织,Ironman_（美国2008年小罗伯特·唐尼主演电影）的出场,0
钢铁侠加入了哪些组织,钢铁侠_（世嘉2008年电影改编同名游戏）的其他名称,0
钢铁侠加入了哪些组织,史塔克_（美国动漫及电影钢铁侠中的人物）的所属团队,1
实行议会制君主立宪制的有哪些国家,议会制君主立宪制的政治体制的国石,0
实行议会制君主立宪制的有哪些国家,议会制君主立宪制的政治体制的所属国家,0
实行议会制君主立宪制的有哪些国家,议会制君主立宪制的政治体制的国家结构形式,0
实行议会制君主立宪制的有哪些国家,议会制君主立宪制的政治体制,1
唐寅的别号,别号的外文名,0
唐寅的别号,别号的拼音,0
唐寅的别号,别号的字号的民族族群,0
唐寅的别号,唐伯虎_（明朝苏州画家）的字号,1
《国王的演讲》有多少分钟,国王的演讲_（英国2010年汤姆·霍珀执导奥斯卡奖最佳影片）的片长,1
《国王的演讲》有多少分钟,国王的演讲_（灵遁者创作诗歌）的作者,0
《国王的演讲》有多少分钟,国王的演讲_（英国2010年汤姆·霍珀执导奥斯卡奖最佳影片）的最佳影片,0
《国王的演讲》有多少分钟,国王的演讲_（马克·罗格著长篇小说）的出版时间,0
我国山西省太原市又称为,山西_（中国行政区）的地点的又称,0
我国山西省太原市又称为,太原_（山西省省会）的省会,0
我国山西省太原市又称为,山西_（中国行政区）的别称,0
我国山西省太原市又称为,太原_（山西省省会）的别名,1
情人节是哪一天设定的,情人节_（美国2010年盖瑞·马歇尔执导电影）的对白语言的拼读系统,0
情人节是哪一天设定的,情人节_（美国2010年盖瑞·马歇尔执导电影）的制片地区的主要民族,0
情人节是哪一天设定的,情人节_（爱情节日）的流行地区的人口,0
情人节是哪一天设定的,情人节_（爱情节日）的设定时间,1
百度公司的具体地址是,百度的总部地点,0
百度公司的具体地址是,百度的住址的电池,0
百度公司的具体地址是,百度的住址的职位,0
百度公司的具体地址是,百度的公司地址,1
马尔科·巴萨是哪个国家的,国家的的背景的特点,0
马尔科·巴萨是哪个国家的,国家的的单位,0
马尔科·巴萨是哪个国家的,国家的的背景,0
马尔科·巴萨是哪个国家的,马尔科·巴萨的国籍,1
瓦妮莎是科比的什么人,瓦妮莎·布莱恩特的母亲的性别,0
瓦妮莎是科比的什么人,瓦妮莎·布莱恩特的国籍的名人,0
瓦妮莎是科比的什么人,VANESSA_（美国女星）的国籍的名人,0
瓦妮莎是科比的什么人,科比·布莱恩特的瓦妮莎·布莱恩特,1
苏宁的形象代言人是谁,苏宁云商集团股份有限公司的代言人的出生地,0
苏宁的形象代言人是谁,苏宁云商集团股份有限公司的代言人的代表作品,0
苏宁的形象代言人是谁,苏宁云商集团股份有限公司的代言人的中文名,0
苏宁的形象代言人是谁,苏宁云商集团股份有限公司的代言人,1
马金梁的笔名是什么,马金梁的笔名,1
马金梁的笔名是什么,笔名的性质的平台,0
马金梁的笔名是什么,笔名的实质的注意,0
马金梁的笔名是什么,笔名的出处的外文名,0
黄河最主要的支流有哪些,黄河_（中国第二长河）的著名景点的所属地区,0
黄河最主要的支流有哪些,黄河_（中国第二长河）的发生的中文名,0
黄河最主要的支流有哪些,黄河_（中国第二长河）的下辖地区的下辖地区,0
黄河最主要的支流有哪些,黄河_（中国第二长河）的主要支流,1
皮卡丘是什么属性的小精灵,皮卡丘的体重,0
皮卡丘是什么属性的小精灵,皮卡丘的属性的外文名,0
皮卡丘是什么属性的小精灵,皮卡丘的特性,0
皮卡丘是什么属性的小精灵,皮卡丘的属性,1
多人在线战术竞技游戏有哪些代表作,MOBA的代表游戏的原版名称,0
多人在线战术竞技游戏有哪些代表作,MOBA的游戏类型,0
多人在线战术竞技游戏有哪些代表作,MOBA的游戏类别,0
多人在线战术竞技游戏有哪些代表作,MOBA的代表游戏,1
腾讯一共有多少员工,腾讯的制作人的主要角色,0
腾讯一共有多少员工,腾讯的合作商的官网,0
腾讯一共有多少员工,腾讯的宣传,0
腾讯一共有多少员工,腾讯的员工数,1
杨红樱什么时候创作的淘气包马小跳,淘气包马小跳_（2008年李鸿禾执导电视剧）的原著的创作时间,0
杨红樱什么时候创作的淘气包马小跳,淘气包马小跳_（黄军执导电影）的导演,0
杨红樱什么时候创作的淘气包马小跳,淘气包马小跳_（杨红樱作品）的登场作品,0
杨红樱什么时候创作的淘气包马小跳,淘气包马小跳_（杨红樱作品）的创作时间,1
黑板有哪几种颜色,颜色_（汉语词语）的外形设计的产品重量,0
黑板有哪几种颜色,颜色_（汉语词语）的所属专辑的所属专辑,0
黑板有哪几种颜色,颜色_（汉语词语）的类型的亦称,0
黑板有哪几种颜色,黑板_（书写用物品）的颜色,1
臭豆腐是谁创造的,臭豆腐_（流行歌曲）的演唱者,0
臭豆腐是谁创造的,臭豆腐_（小吃）的领域,0
臭豆腐是谁创造的,臭豆腐_（小吃）的副标题,0
臭豆腐是谁创造的,臭豆腐_（小吃）的创造人,1
作家狄更斯是哪个国家的,查尔斯·狄更斯的作者的语种,0
作家狄更斯是哪个国家的,查尔斯·狄更斯的作者的格式,0
作家狄更斯是哪个国家的,狄根斯的国籍的国家领袖,0
作家狄更斯是哪个国家的,查尔斯·狄更斯的国籍,1
新加坡的港口是什么,港口_（运输枢纽）的应用领域的性能特点,0
新加坡的港口是什么,新加坡的居住地的学历,0
新加坡的港口是什么,新加坡的所属地区的学校属性,0
新加坡的港口是什么,新加坡的港口,1
三国时期三个国家以及各自的面积,三国_（中国东汉与西晋之间的历史时期）的年代的所属国家,0
